treatment_id	n_terms_above_5
taxon_fcdc196403bdd138f685f9147c62b221d138fbf9ae44e44cbd3eb9f59c3e42df	187
taxon_28d1843d1a3580d4c671a01993a32af5f24f0375a3370479c858458879bd7300	186
taxon_a62f17d67157f2f0093b6842e7daa1dd061caa954138e51054856b2eee21dff7	186
taxon_c5bd3d0b87431d603913fd3d8a68b8e4cded5513e4b37723accf7c1ba5b1a219	186
taxon_7c42758151a95357d41660c9cc7d05beb8a6259d0c02cabe622d8e63fcbb4763	185
taxon_e4dc526ea93c09a6058e013d4039fd8b4450bd85d55d624c975b3cec5d1aff4e	184
taxon_c39384c76e1ee07ba1308e6a54de74e754eab749bcba348c2735e54290848b10	183
taxon_71c676a7166068f3f897d02cc34fbadd82246fd930eea929a2250910dedbfce4	182
taxon_f6bcf6822c86bf6e453af5357bcf21bd3aa728dee8fabdd5c99835d693254db0	182
taxon_303bdb67569f0d4772ef94f0f47e7331e5d0e242314ce8dba866701cc0c3358d	180
taxon_65add3a2ce9f74caa272b3a19faffbfb3725133335e7f6a87e77b44362f6be4a	180
taxon_270cd764d3860c27ca41be96d11dabaa52faf45f4d224f7cb7142abe184bb1eb	179
taxon_8f218d2361a27e3135634b9e1b3465d241192094d8a92457db4e035fd26121c6	179
taxon_56d2c3d1a2dab1f431b37aee0debab9a746354b0f0bf4d829e2e43a557aa2149	178
taxon_f4d0f7b1cb336cece51f3917c9538f01bff00b63e55dfd7b0cb7cf61b536ea5d	178
taxon_33ad1adb7d6f7b35fdb0ce392cf1c96017ee820421263eddd33062f75cfb88be	177
taxon_b11c4c982ff357c212477f318fed36298a6be239eabdd9a103fe03c2aa20b233	177
taxon_f1872a3d55415f6c350cc08cfb7bfe76cfbeac0b32bafb71f58f1efc9638c7e5	177
taxon_e7236e2f219c73c59e7d0f5c8001c850f82ffe4c0e620652426c414078dcc71d	175
taxon_d10eadb9bd2b08cf7ed01579dc3313b41727322a8d7e06f3af99ae6648989b41	174
