Headword,DEFINITION,Part of Speech,SEMANTIC GROUP,FREQUENCY RANK,Transliterated,Latinized
"διαφέρω, διοίσω, 1 aor. διήνεγκα, 2 aor. διήνεγκον, διενήνοχα, διενήνεγμαι","carry in different ways, spread; differ; (impers.) διαφέρει it makes a difference to (+dat.)",verb: -ω liquid stem,Work and Leisure,215,"diaphero, dioeso, 1 aor. dienenca, 2 aor. dienencon, dienenocha, dienenegmae","diaphero, dioeso, 1 aor. dienenca, 2 aor. dienencon, dienenocha, dienenegmae"
μέχρι,"until (conj.); as far as, up to (prep. +gen.)",preposition,Time,216,mechri,mechri
"δόξα δόξης, ἡ","opinion, judgment; reputation, honor, glory",noun: 1st declension,Ethics and Morals,217,"doxa doxes, he","doxa doxes, he"
"κεφαλή –ῆς, ἡ",head,noun: 1st declension,Body Parts,218,"cephale es, he","cephale es, he"
"πῦρ πυρός, τό",fire,noun: 3rd declension consonant stem,World Order,219,"pyr pyros, to","pyr pyros, to"
ἐλάσσων ἔλασσον,"smaller, less, fewer (comp. of μικρός)","adjective: 3rd declension -ων, -ον",Measurements and Numerals,220,elasson elasson,elassum elassum
"πούς ποδός, ὁ",foot,noun: 3rd declension consonant stem,Body Parts,221,"pus podos, ho","pus podos, ho"
ἱερός –ά –όν,"holy, venerated, divine",adjective: 1st and 2nd declension,Religion,222,hieros a on,hierus a on
εὐθύς εὐθεῖα εὐθύ,"straight, direct; (adv.) immediately","adjective: -ύς, -εῖα, -ύ",Measurements and Numerals,223,euthys euthia euthy,euthys euthia euthy
"εἶμι, infin. ἰέναι, ptc. ἰών, ἰοῦσα, ἰόν",I will go (fut. of ἔρχομαι),verb: -μι,Movement,224,"imi, infin. ienae, ptc. ion, iusa, ion","imi, infin. ienae, ptc. ion, iusa, ium"
ταχύς ταχεῖα ταχύ,"quick, fast; (adv.) τάχα quickly; perhaps","adjective: -ύς, -εῖα, -ύ",Characteristics,225,tachys tachia tachy,tachys tachia tachy
"ποταμός –οῦ, ὁ","river, stream",noun: 2nd declension,Earth,226,"potamos u, ho","potamus u, ho"
"οὐσία οὐσίας, ἡ","substance, property; essence",noun: 1st declension,Family and Friendship and the Home,227,"usia usias, he","usia usias, he"
"ἀριθμός –οῦ, ὁ",number,noun: 2nd declension,Measurements and Numerals,228,"arithmos u, ho","arithmus u, ho"
ὕστερος ὑστέρα ὕστερον,"coming after, following (+gen.); next, later; (adv.) ὕστερον afterwards",adjective: 1st and 2nd declension,Direction,229,hysteros hystera hysteron,hysterus hystera hysterum
