Headword,DEFINITION,Part of Speech,SEMANTIC GROUP,FREQUENCY RANK,Transliterated,Latinized
"ἐρωτάω, ἐρήσομαι, 2 aor. ἠρόμην","ask someone (acc.) something (acc.); question, beg",verb: contracted,Writing and Talking,458,"erotao, eresomae, 2 aor. eromen","erotao, eresomae, 2 aor. eromen"
"πολεμέω, πολεμήσω, ἐπολέμησα, πεπολέμηκα",make war,verb: contracted,War and Peace,459,"polemeo, polemeso, epolemesa, pepolemeca","polemeo, polemeso, epolemesa, pepolemeca"
"θύω, θύσω, ἔθυσα, τέθυκα, τέθυμαι, ἐτύθην",sacrifice,verb: -ω vowel stem,Religion,460,"thyo, thyso, ethysa, tethyca, tethymae, etythen","thyo, thyso, ethysa, tethyca, tethymae, etythen"
"ἐλαύνω, ἐλῶ, ἤλασα, -ελήλακα, ἐλήλαμαι, ἠλάθην","drive, set in motion",verb: -ω liquid stem,Movement,461,"elauno, elo, elasa, -elelaca, elelamae, elathen","elauno, elo, elasa, -elelaca, elelamae, elathen"
"δέδοικα, δείσομαι, ἔδεισα",fear,verb: -ω dental stem,The Senses and Feelings,462,"dedoeca, disomae, edisa","dedoeca, disomae, edisa"
σύμμαχος –ον,allied with (+dat.); οἱ σύμμαχοι allies,adjective: 1st and 2nd declension,War and Peace,463,symmachos on,symmachus on
"ἡγεμών ἡγεμόνος, ὁ","guide, leader, commander",noun: 3rd declension consonant stem,Government and Society,464,"hegemon hegemonos, ho","hegemum hegemonos, ho"
βαρύς βαρεῖα βαρύ,"heavy, grievous, tiresome","adjective: -ύς, -εῖα, -ύ",Characteristics,465,barys baria bary,barys baria bary
ὧδε,"thus, in this way; hither, here",adverb,Direction,466,hode,hode
αἰσχρός –ά –όν,"ugly, shameful, disgraceful",adjective: 1st and 2nd declension,Characteristics,467,aeschros a on,aeschrus a on
"εἰρήνη εἰρήνης, ἡ",peace,noun: 1st declension,War and Peace,468,"irene irenes, he","irene irenes, he"
"ἁλίσκομαι, ἁλώσομαι, 2 aor. ἑάλων, ἑάλωκα","to be taken, conquered (act. supplied by αἱρέω)",verb: deponent,War and Peace,469,"haliscomae, halosomae, 2 aor. healon, healoca","haliscomae, halosomae, 2 aor. healon, healoca"
δέκα,ten,adjective: numeral,Measurements and Numerals,470,deca,deca
ἀμείνων ἄμεινον,"better, abler, stronger, braver (comp. of ἀγαθός)","adjective: 3rd declension -ων, -ον",Ethics and Morals,471,aminon aminon,aminum aminum
χείρων χεῖρον,"worse, inferior (comp. of κακός)","adjective: 3rd declension -ων, -ον",Ethics and Morals,472,chiron chiron,chirum chirum
"βοηθέω, βοηθήσω, ἐβοήθησα, βεβοήθηκα","help, assist (+dat.)",verb: contracted,Help and Safety,473,"boetheo, boetheso, eboethesa, beboetheca","boetheo, boetheso, eboethesa, beboetheca"
λαμπρός –ά –όν,"bright, brilliant; well-known, illustrious",adjective: 1st and 2nd declension,Characteristics,474,lampros a on,lamprus a on
"ἀπαλλάσσω, ἀπαλλάξω, ἀπήλλαξα, ἀπήλλαχα, ἀπήλλαγμαι, ἀπηλλάχθην or ἀπηλλάγην","set free, release, deliver",verb: -ω palatal stem,Help and Safety,475,"apallasso, apallaxo, apellaxa, apellacha, apellagmae, apellachthen or apellagen","apallasso, apallaxo, apellaxa, apellacha, apellagmae, apellachthen or apellagen"
"βουλεύω βουλεύσω, ἐβούλευσα, βεβούλευκα, βεβούλευμαι, ἐβουλεύθην","plan (to), decide (to); (mid.) deliberate",verb: -ω vowel stem,War and Peace,476,"buleuo buleuso, ebuleusa, bebuleuca, bebuleumae, ebuleuthen","buleuo buleuso, ebuleusa, bebuleuca, bebuleumae, ebuleuthen"
μάλα,"very, very much",adverb,Conjunctions/Adverbs,477,mala,mala
"αἰτέω, αἰτήσω, ᾔτησα, ᾔτηκα, ᾔτημαι, ᾐτήθην","ask (for), beg",verb: contracted,Writing and Talking,478,"aeteo, aeteso, etesa, eteca, etemae, etethen","aeteo, aeteso, etesa, eteca, etemae, etethen"
"σωτηρία σωτηρίας, ἡ","safety, deliverance",noun: 1st declension,Help and Safety,479,"soteria soterias, he","soteria soterias, he"
ἆρα,[introduces a question],adverb,Particles,480,ara,ara
"διώκω, διώξομαι, ἐδίωξα, δεδίωχα, ἐδιώχθην",pursue,verb: -ω palatal stem,Movement,481,"dioco, dioxomae, edioxa, dediocha, ediochthen","dioco, dioxomae, edioxa, dediocha, ediochthen"
"δαίμων δαίμονος, ὁ/ἡ","spirit, god, demon",noun: 3rd declension consonant stem,Religion,482,"daemon daemonos, ho/e","daemum daemonos, ho/e"
οὐκοῦν,surely then (inviting assent to an inference),adverb,Particles,483,ucun,ucun
"γλῶσσα γλώσσης, ἡ",tongue; language,noun: 1st declension,Body Parts,484,"glossa glosses, he","glossa glosses, he"
ἑπτά,seven,adjective: numeral,Measurements and Numerals,485,hepta,hepta
"τολμάω, τολμήσω, ἐτόλμησα, τετόλμηκα, τετόλμημαι, ἐτολμήθην","have the courage, dare; undertake, undergo",verb: contracted,The Senses and Feelings,486,"tolmao, tolmeso, etolmesa, tetolmeca, tetolmemae, etolmethen","tolmao, tolmeso, etolmesa, tetolmeca, tetolmemae, etolmethen"
"δεσπότης –ου, ὁ",master (of the household); absolute ruler,noun: 1st declension,Government and Society,487,"despotes u, ho","despotes u, ho"
"εἰκός εἰκότος, τό","likelihood, probability; εἰκός (ἐστι) it is likely (+infin.) →ἔοικα",noun: 3rd declension consonant stem,"The Mind, Perceiving and Learning",488,"icos icotos, to","icus icotos, to"
ἄδικος ἄδικον,unjust,adjective: 1st and 2nd declension,Ethics and Morals,489,adicos adicon,adicus adicum
εἴκοσι(ν),twenty,adjective: numeral,Measurements and Numerals,490,icosi(n),icosi(n)
μυρίος μυρία μυρίον,"countless; μύριοι 10,000; μυριάς -άδος ἡ 10,000, a countless amount",adjective: 1st and 2nd declension,Measurements and Numerals,491,myrios myria myrion,myrius myria myrium
αὐτίκα,"at once, immediately",adverb,Time,492,autica,autica
δέκατος –η –ον,tenth,adjective: numeral,Measurements and Numerals,493,decatos e on,decatus e on
"βαίνω, βήσομαι, 2 aor. ἔβην, βέβηκα","walk, come, go",verb: -ω liquid stem,Movement,494,"baeno, besomae, 2 aor. eben, bebeca","baeno, besomae, 2 aor. eben, bebeca"
περ,[enclitic added to pronouns and other particles for emphasis],adverb,Particles,495,per,per
ἐλεύθερος ἐλευθέρα ἐλεύθερον,"free, independent",adjective: 1st and 2nd declension,Government and Society,496,eleutheros eleuthera eleutheron,eleutherus eleuthera eleutherum
"στρατιά –ᾶς, ἡ",army,noun: 1st declension,War and Peace,497,"stratia as, he","stratia as, he"
ἀμφί,"about, around",preposition,Direction,498,amphi,amphi
"συμφορά –ᾶς, ἡ","event, circumstance, misfortune",noun: 1st declension,Life and Death,499,"symphora as, he","symphora as, he"
ἑκατόν,hundred,adjective: numeral,Measurements and Numerals,500,hecaton,hecatum
"νίκη νίκης, ἡ",victory,noun: 1st declension,War and Peace,501,"nice nices, he","nice nices, he"
"ἔπος ἔπους, τό","word, speech, tale; prophecy",noun: 3rd declension σ-stem,Writing and Talking,502,"epos epus, to","epus epus, to"
"στρατός –οῦ, ὁ",army,noun: 2nd declension,War and Peace,503,"stratos u, ho","stratus u, ho"
"φράζω, φράσω, ἔφρασα, πέφρακα, πέφρασμαι, ἐφράσθην","tell, declare; (mid. and pass.) think (about)",verb: -ω dental stem,Writing and Talking,504,"phrazo, phraso, ephrasa, pephraca, pephrasmae, ephrasthen","phrazo, phraso, ephrasa, pephraca, pephrasmae, ephrasthen"
"ἀργύριον ἀργυρίου, τό",money,noun: 2nd declension,Government and Society,505,"argyrion argyriu, to","argyrium argyriu, to"
τριάκοντα,thirty,adjective: numeral,Measurements and Numerals,506,triaconta,triaconta
ἕξ,six,adjective: numeral,Measurements and Numerals,507,hex,hex
πεμπτός –ή –όν,fifth,adjective: numeral,Measurements and Numerals,508,pemptos e on,pemptus e on
"μάρτυς μάρτυρος, ὁ/ἡ",witness,noun: 3rd declension consonant stem,Law and Judgment,509,"martys martyros, ho/e","martys martyros, ho/e"
χαλκοῦς –ῆ –οῦν,of copper or bronze,adjective: 1st and 2nd declension,Earth,510,chalcus e un,chalcus e un
ἕβδομος –η –ον,seventh,adjective: numeral,Measurements and Numerals,511,hebdomos e on,hebdomus e on
ποῦ,where,pronoun,Pronouns/Interrogatives,512,pu,pu
ναί,"indeed, yes (used in strong affirmation)",adverb,Particles,513,nae,nae
"φῶς φωτός, τό","light, daylight",noun: 3rd declension consonant stem,World Order,514,"phos photos, to","phus photos, to"
ὀκτώ,eight,adjective: numeral,Measurements and Numerals,515,octo,octo
ἕκτος –η –ον,sixth,adjective: numeral,Measurements and Numerals,516,hectos e on,hectus e on
τριακοστός –ή –όν,thirtieth,adjective: numeral,Measurements and Numerals,517,triacostos e on,triacostus e on
ἐννέα,nine,adjective: numeral,Measurements and Numerals,518,ennea,ennea
πότε,when?,adverb,Time,519,pote,pote
ὄγδοος –η –ον,eighth,adjective: numeral,Measurements and Numerals,520,ogdoos e on,ogdous e on
ἔνατος –α –ον,ninth,adjective: numeral,Measurements and Numerals,521,enatos a on,enatus a on
εἰκοστός –ή –όν,twentieth,adjective: numeral,Measurements and Numerals,522,icostos e on,icostus e on
"ἀγγέλλω, ἀγγελῶ, ἤγγειλα, ἤγγελκα, ἤγγελμαι, ἠγγέλθην","report, tell",verb: -ω liquid stem,Writing and Talking,523,"angello, angelo, engila, engelca, engelmae, engelthen","angello, angelo, engila, engelca, engelmae, engelthen"
ἑκατοστός –ή –όν,hundredth,adjective: numeral,Measurements and Numerals,524,hecatostos e on,hecatostus e on
