reinterpret,classifier,vectorizer,score,time
year,ExtraTreesClassifier,CountVectorizer,0.926967619948,1.9291112422943115
year,ExtraTreesClassifier,TfidfVectorizer,0.932640037816,1.7472939491271973
year,GradientBoostingClassifier,CountVectorizer,0.923895060269,9.461748361587524
year,GradientBoostingClassifier,TfidfVectorizer,0.925785866225,15.325071811676025
year,DecisionTreeClassifier,CountVectorizer,0.915622784212,3.084404468536377
year,DecisionTreeClassifier,TfidfVectorizer,0.913495627511,4.046440124511719
year,CalibratedClassifierCV,CountVectorizer,0.928385724415,1.2201526165008545
year,CalibratedClassifierCV,TfidfVectorizer,0.946112030253,0.6233961582183838
year,DummyClassifier,CountVectorizer,0.729142046797,0.3776535987854004
year,DummyClassifier,TfidfVectorizer,0.718978964784,0.383530855178833
year,PassiveAggressiveClassifier,CountVectorizer,0.937367052706,0.4036905765533447
year,PassiveAggressiveClassifier,TfidfVectorizer,0.940912313874,0.39793825149536133
year,RidgeClassifier,CountVectorizer,0.916095485701,6.296430826187134
year,RidgeClassifier,TfidfVectorizer,0.941148664618,0.6779091358184814
year,SGDClassifier,CountVectorizer,0.938312455684,0.396350622177124
year,SGDClassifier,TfidfVectorizer,0.942330418341,0.3979368209838867
year,OneVsRestClassifier,CountVectorizer,0.931221933349,7.818722486495972
year,OneVsRestClassifier,TfidfVectorizer,0.943512172063,9.666409015655518
year,OneVsRestClassifier,CountVectorizer,0.936421649728,0.888094425201416
year,OneVsRestClassifier,TfidfVectorizer,0.920822500591,0.5398075580596924
year,KNeighborsClassifier,CountVectorizer,0.896005672418,1.370103120803833
year,KNeighborsClassifier,TfidfVectorizer,0.874734105412,1.409548044204712
abbrev,BernoulliNB,CountVectorizer,0.876152209879,0.43657708168029785
abbrev,BernoulliNB,TfidfVectorizer,0.876152209879,0.4152710437774658
abbrev,RandomForestClassifier,CountVectorizer,0.941621366107,3.3687288761138916
abbrev,RandomForestClassifier,TfidfVectorizer,0.94280311983,2.6800308227539062
abbrev,AdaBoostClassifier,CountVectorizer,0.896005672418,1.3991281986236572
abbrev,AdaBoostClassifier,TfidfVectorizer,0.883951784448,1.8054406642913818
abbrev,BaggingClassifier,CountVectorizer,0.923186008036,17.111584186553955
abbrev,BaggingClassifier,TfidfVectorizer,0.935003545261,20.612406015396118
